raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
338,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,160,440,160,1440,1560,2080,2320,2800,3040,2480,2920,720,19840
340,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,440,200,1120,1600,2120,2320,2600,3120,2640,2720,760,20200
342,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,320,280,1000,1600,2000,2200,2800,2840,2760,2400,1000,20640
344,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,240,360,920,1600,1640,2200,2960,2800,2800,2440,560,21320
346,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,720,1720,1480,2160,2720,2960,2680,2480,560,21760
348,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,440,600,1640,1520,1960,2600,3160,2680,2440,680,22000
350,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,360,520,1560,1480,1960,2560,3120,2800,2240,640,22480
352,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,360,280,1680,1520,1920,2400,3000,2720,2400,480,22960
354,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,160,400,200,1520,1560,2000,2240,2680,3040,2480,440,23200
356,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,120,440,160,1320,1520,2120,2160,2520,2880,2760,400,23520
358,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,120,440,160,1080,1520,1960,2080,2840,2840,2640,560,23680
360,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,120,440,200,960,1600,1680,2040,2800,2720,2720,560,24120
362,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,320,280,920,1600,1520,2000,2600,3000,2520,640,24440
364,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,200,400,720,1680,1440,1880,2520,2920,2800,480,24800
366,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,560,1640,1320,1880,2560,3000,2600,560,25120
368,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,440,440,1520,1520,1920,2320,2720,2880,600,25360
370,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,360,360,1520,1480,1920,2280,2480,2880,680,25760
