Mile,Minute,Runners
7,162,2160
8,162,3600
9,162,4840
10,162,5080
11,162,4120
12,162,3200
13,162,2960
14,162,2360
15,162,2800
16,162,2600
17,162,2160
18,162,1480
19,162,1040
20,162,600
21,162,200
22,162,80
23,162,80
24,162,40
25,162,0
0,164,0
1,164,0
2,164,0
3,164,0
4,164,0
5,164,40
6,164,520
7,164,1920
8,164,3280
9,164,4480
10,164,5240
11,164,4120
12,164,3360
13,164,3320
14,164,2240
15,164,2800
16,164,2640
17,164,1880
18,164,1880
19,164,920
20,164,880
21,164,200
22,164,120
23,164,40
24,164,80
25,164,0
0,166,0
1,166,0
2,166,0
3,166,0
4,166,0
5,166,40
6,166,400
7,166,1680
8,166,2960
9,166,4280
10,166,5080
11,166,4520
12,166,3600
13,166,3200
14,166,2320
15,166,2760
16,166,2520
17,166,2320
18,166,1600
19,166,1080
20,166,1040
21,166,280
22,166,160
23,166,40
24,166,80
25,166,0
0,168,0
1,168,0
2,168,0
3,168,0
4,168,0
5,168,40
6,168,280
7,168,1240
8,168,3040
9,168,4160
10,168,5040
11,168,4600
12,168,3440
13,168,3360
14,168,2360
15,168,2720
16,168,2640
17,168,2200
18,168,1720
19,168,1360
20,168,1000
