raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
112,41400,0,0,0,40,1900,5660,5160,5100,4720,2740,2760,3060,3400,2540,2040,1260,780,180,40,0,20,0,0,0,0,0,0,0
113,41400,0,0,0,40,1620,5300,5360,4820,5100,2880,2620,3040,3520,2500,1940,1500,860,180,100,0,0,20,0,0,0,0,0,0
114,41400,0,0,0,40,1220,5340,5280,4860,4980,2980,2800,2940,3400,2700,1960,1600,860,300,120,0,0,20,0,0,0,0,0,0
115,41400,0,0,0,0,1080,4960,5300,4920,4960,3100,2840,2880,3400,2780,2000,1680,1000,320,160,0,0,20,0,0,0,0,0,0
116,41400,0,0,0,0,880,4480,5400,4920,4980,3320,2940,2640,3320,2960,2060,1860,1000,440,160,20,0,20,0,0,0,0,0,0
117,41400,0,0,0,0,720,4080,5380,5040,4920,3520,2900,2620,3300,2920,2340,1920,940,600,160,20,0,20,0,0,0,0,0,0
118,41400,0,0,0,0,600,3800,5360,5020,4800,3760,2760,2740,3280,3040,2280,1920,1120,700,160,40,0,20,0,0,0,0,0,0
119,41400,0,0,0,0,380,3520,5420,4940,4960,3940,2660,2820,3100,3200,2320,1880,1240,740,160,100,0,0,20,0,0,0,0,0
120,41400,0,0,0,0,320,3040,5420,5040,4860,4160,2680,2860,2980,3240,2400,1880,1360,820,200,120,0,0,20,0,0,0,0,0
121,41400,0,0,0,0,260,2600,5380,4980,4780,4520,2800,2840,2760,3400,2420,1820,1520,840,340,120,0,0,20,0,0,0,0,0
122,41400,0,0,0,0,200,2320,5180,4940,4640,4880,2880,2680,2860,3320,2560,1900,1540,960,340,160,20,0,20,0,0,0,0,0
123,41400,0,0,0,0,100,2000,5140,5000,4600,4840,2920,2860,2820,3220,2580,1980,1720,920,500,160,20,0,20,0,0,0,0,0
124,41400,0,0,0,0,80,1800,4920,4920,4640,4840,3040,2880,2820,2980,2800,2040,1920,840,680,140,40,0,0,20,0,0,0,0
125,41400,0,0,0,0,60,1560,4780,4940,4560,4780,3240,2900,2700,3020,2820,2300,1720,1060,720,120,100,0,0,20,0,0,0,0
126,41400,0,0,0,0,40,1260,4400,5040,4700,4880,3360,2860,2620,3060,2860,2300,1820,1160,740,160,120,0,0,20,0,0,0,0
127,41400,0,0,0,0,40,1120,3960,5000,4860,4680,3760,2640,2820,2920,3100,2260,1860,1220,760,260,120,0,0,20,0,0,0,0
128,41400,0,0,0,0,40,960,3680,5080,4760,4660,3880,2620,2900,2980,3000,2400,1700,1420,840,280,160,20,0,20,0,0,0,0
129,41400,0,0,0,0,20,800,3360,5200,4720,4640,4040,2620,2940,2820,3140,2400,1720,1480,920,380,160,20,0,0,20,0,0,0
130,41400,0,0,0,0,0,720,3120,5100,4680,4560,4280,2780,2840,2720,3080,2540,1700,1680,860,540,140,40,0,0,20,0,0,0
131,41400,0,0,0,0,0,540,2760,5100,4640,4460,4620,2760,2880,2740,3040,2460,1880,1800,820,700,80,100,0,0,20,0,0,0
132,41400,0,0,0,0,0,360,2540,5040,4640,4380,4700,2920,2860,2780,2840,2580,2060,1700,1020,700,160,100,0,0,20,0,0,0
133,41400,0,0,0,0,0,300,2220,4880,4800,4360,4640,3020,2820,2780,2780,2700,2140,1800,1060,760,200,120,0,0,20,0,0,0
134,41400,0,0,0,0,0,280,1880,4740,4880,4360,4580,3180,2880,2660,2880,2800,2100,1840,1180,700,280,140,20,0,20,0,0,0
135,41400,0,0,0,0,0,220,1720,4560,4780,4360,4700,3300,2800,2700,2820,2900,2260,1580,1360,840,300,160,20,0,0,20,0,0
136,41400,0,0,0,0,0,140,1560,4380,4820,4260,4580,3680,2680,2700,2880,2860,2340,1660,1360,860,440,160,20,0,0,20,0,0
137,41400,0,0,0,0,0,80,1380,3940,4740,4620,4560,3780,2520,2820,2880,2980,2260,1700,1540,840,560,80,100,0,0,20,0,0
138,41400,0,0,0,0,0,80,1160,3680,4820,4620,4540,3800,2620,2940,2640,3100,2220,1780,1660,840,640,140,100,0,0,20,0,0
139,41400,0,0,0,0,0,60,1040,3360,4900,4580,4400,4060,2620,3000,2540,3100,2200,1920,1640,1000,680,160,120,0,0,20,0,0
140,41400,0,0,0,0,0,60,900,3140,4880,4500,4200,4280,2860,2860,2740,2700,2440,2040,1660,1040,720,240,100,20,0,0,0,0
141,41400,0,0,0,0,0,40,780,2860,4860,4400,4340,4340,2840,2960,2680,2580,2580,2140,1660,1160,700,280,160,20,0,0,0,20
142,41400,0,0,0,0,0,40,660,2580,4860,4440,4100,4500,3040,2720,2780,2660,2720,2060,1640,1240,820,340,160,20,0,0,0,20
143,41400,0,0,0,0,0,40,540,2380,4640,4520,4200,4500,3040,2800,2700,2740,2700,2200,1560,1360,760,520,100,80,0,0,0,20
144,41400,0,0,0,0,0,20,440,1980,4680,4620,4100,4480,3320,2720,2680,2700,2820,2260,1500,1460,820,600,80,100,0,0,0,20
145,41400,0,0,0,0,0,0,340,1840,4460,4700,4040,4440,3600,2600,2700,2780,2740,2200,1680,1540,820,640,140,120,0,0,0,20
